"carat","cut","color","clarity","depth","table","price","x","y","z"
1.02,"Premium","F","SI2",63,58,4238,6.44,6.38,4.04
2.01,"Very Good","J","VS1",61.2,60,14812,8.06,8.14,4.96
1.01,"Premium","G","VS1",59.9,59,6353,6.51,6.48,3.89
0.5,"Good","G","IF",64,55,1976,5.05,5.08,3.24
1.02,"Ideal","D","SI2",61.4,56,4946,6.42,6.57,3.99
2.02,"Ideal","J","VS1",61.8,57,16397,8.06,8.13,5
0.36,"Very Good","D","SI1",62.8,57,619,4.51,4.54,2.84
0.81,"Ideal","E","SI2",60.3,57,2864,6.07,6.04,3.65
1.03,"Premium","E","VS1",62.8,58,8629,6.46,6.41,4.04
0.71,"Premium","E","VVS1",61.8,56,3936,5.71,5.68,3.52
1.13,"Premium","E","SI2",62.5,57,3898,6.68,6.63,4.16
0.33,"Ideal","I","VVS2",61,56,722,4.48,4.51,2.74
0.3,"Very Good","D","SI1",62.6,59,476,4.24,4.26,2.66
1.02,"Ideal","F","VS2",62.7,54,6479,6.42,6.5,4.05
1.23,"Premium","E","SI1",59.2,62,7274,7.05,7,4.16
1.76,"Very Good","H","SI1",62.6,58,12361,7.7,7.66,4.81
0.4,"Ideal","G","SI2",62.6,54,573,4.73,4.76,2.97
0.34,"Ideal","G","IF",62.2,56,984,4.45,4.46,2.77
0.23,"Premium","G","VVS2",58.1,59,550,4.09,4.03,2.36
0.32,"Ideal","F","VS2",62.3,56,645,4.37,4.4,2.73
0.72,"Very Good","J","SI1",62.7,56,1666,5.66,5.72,3.57
0.58,"Very Good","G","VVS2",62.1,58,1872,5.35,5.4,3.34
0.69,"Ideal","F","VVS1",61.6,56,3784,5.69,5.71,3.51
0.5,"Ideal","F","VS2",61.4,57,1632,5.16,5.13,3.16
1.7,"Premium","J","SI2",63,60,7650,7.59,7.53,4.76
0.51,"Very Good","E","SI1",63.5,54,1443,5.1,5.07,3.23
0.31,"Premium","E","VS2",60.8,58,680,4.35,4.37,2.65
0.59,"Good","F","SI1",59.5,62,1318,5.45,5.5,3.26
0.71,"Good","E","SI2",57.8,60,2215,5.86,5.83,3.38
0.31,"Ideal","H","VS1",62.6,55,698,4.38,4.34,2.73
0.7,"Good","E","VS1",58.7,60,3148,5.79,5.83,3.41
1.02,"Very Good","J","VS2",59.3,58,3796,6.56,6.62,3.91
1.02,"Very Good","H","SI2",59.7,58,4303,6.53,6.57,3.91
0.31,"Premium","E","SI1",58.7,60,651,4.48,4.45,2.62
0.28,"Ideal","F","VVS2",61.1,57,642,4.22,4.26,2.59
1.05,"Very Good","H","VS2",59,59,5370,6.68,6.71,3.95
1.21,"Premium","I","VS1",61.9,58,5739,6.76,6.81,4.2
1.2,"Ideal","H","VS2",60.8,55,7190,6.9,6.85,4.18
0.91,"Very Good","J","VS2",61.9,59,3478,6.11,6.16,3.8
1.53,"Ideal","F","SI1",62.5,57,11525,7.38,7.31,4.59
0.31,"Ideal","D","VVS2",61.9,57,982,4.35,4.31,2.68
0.35,"Very Good","E","VS2",62.1,59,767,4.46,4.49,2.78
1,"Fair","F","SI1",67.1,57,4328,6.06,6.1,4.08
0.64,"Very Good","E","VS2",63.4,54,2114,5.52,5.49,3.49
